iter	Passed	Remaining
0	4	483
1	9	460
2	13	442
3	18	437
4	23	438
5	27	423
6	31	419
7	35	412
8	40	407
9	44	402
10	49	398
11	53	394
12	58	389
13	62	384
14	66	379
15	71	372
16	75	368
17	79	362
18	84	358
19	88	354
20	92	349
21	97	346
22	102	341
23	106	336
24	110	332
25	113	323
26	116	314
27	119	306
28	121	296
29	123	287
30	125	278
31	127	270
32	128	261
33	130	252
34	131	245
35	133	237
36	135	230
37	136	222
38	137	215
39	139	208
40	140	202
41	141	195
42	143	190
43	144	183
44	145	178
45	147	172
46	148	167
47	149	162
48	151	157
49	152	152
50	153	147
51	155	143
52	156	139
53	158	134
54	159	130
55	161	126
56	162	122
57	163	118
58	165	114
59	166	111
60	168	107
61	169	103
62	170	100
63	172	96
64	173	93
65	175	90
66	176	86
67	178	83
68	180	80
69	182	78
70	183	75
71	185	72
72	187	69
73	188	66
74	190	63
75	191	60
76	193	57
77	195	55
78	195	52
79	197	49
80	198	46
81	200	43
82	201	41
83	203	38
84	204	36
85	206	33
86	207	31
87	209	28
88	210	25
89	211	23
90	212	21
91	214	18
92	215	16
93	217	13
94	218	11
95	220	9
96	221	6
97	222	4
98	223	2
99	225	0
